id,description,title,repin_count,text
21181060740031511,"Casa Pueblo Boca Paila, Tulum: First In | Condé Nast Traveler",,2," Casa Pueblo Boca Paila, Tulum: First In | Condé Nast Traveler"
21181060740031510,Lettering — Lisa Taniguchi,,9, Lettering — Lisa Taniguchi
21181060740031506,Our New Stocking Tradition - Oh Joy!,,10, Our New Stocking Tradition - Oh Joy!
21181060739997924,from @shopbando,Lucite Checkers - Smiley,17,Lucite Checkers - Smiley. from @shopbando
21181060739997913,from @freepeople,Hit the Slopes Sequin Jacket,16,Hit the Slopes Sequin Jacket. from @freepeople
188658671886716787,"Whether you want to go incognito, stand out from the crowd, or just stay protected under the sun, this is the accessory everyone should own multiples of this season. Our Hero brand Clean Waves is a new arrival and couldn’t come at a more perfect time. Each design is made from marine plastic debris and reclaimed fishing nets—one of the key threats to life in the oceans. Both classic and modern at the same time, every style is refreshing and undeniably cool.",Shop These Chic Sunglasses Made From Ocean Plastics,0,"Shop These Chic Sunglasses Made From Ocean Plastics. Whether you want to go incognito, stand out from the crowd, or just stay protected under the sun, this is the accessory everyone should own multiples of this season. Our Hero brand Clean Waves is a new arrival and couldn’t come at a more perfect time. Each design is made from marine plastic debris and reclaimed fishing nets—one of the key threats to life in the oceans. Both classic and modern at the same time, every style is refreshing and undeniably cool."
188658671886712840,"Colorful dresses in the winter simply don't compare to colorful dresses in the spring—sure, they bring vibrancy to those cold, grey days, but in the following season, these bright pieces mirror the electric energy in the air as the trees begin to bud and the flowers start to bloom. Embrace this fresh start with new brilliant looks, in hue and in style: shop pink floral maxis, pale blue midis, white lace minis, and so much more.",How To Wear Colorful Dresses This Spring,5,"How To Wear Colorful Dresses This Spring. Colorful dresses in the winter simply don't compare to colorful dresses in the spring—sure, they bring vibrancy to those cold, grey days, but in the following season, these bright pieces mirror the electric energy in the air as the trees begin to bud and the flowers start to bloom. Embrace this fresh start with new brilliant looks, in hue and in style: shop pink floral maxis, pale blue midis, white lace minis, and so much more."
188658671886710229,"Feminine or edgy, punk or sleek, micro or modest—if you're looking for a versatile garment, start with a skirt. Your basic black tee can take on any aesthetic depending on which skirt you pair it with, making these bottoms your ideal companion when switching things up for spring. Don't just take it from us—check out these skirt-centric street style looks from Fashion Month, and you'll see why collecting these pieces will only benefit your closet.",Here Are The Skirts To Wear This Spring,15,"Here Are The Skirts To Wear This Spring. Feminine or edgy, punk or sleek, micro or modest—if you're looking for a versatile garment, start with a skirt. Your basic black tee can take on any aesthetic depending on which skirt you pair it with, making these bottoms your ideal companion when switching things up for spring. Don't just take it from us—check out these skirt-centric street style looks from Fashion Month, and you'll see why collecting these pieces will only benefit your closet."
188658671886708999,"Welcome the new season with our editors’ highlight of the top spring trends you need to incorporate into your wardrobe immediately. Update your classics collection with sleek must-haves, enjoy a slice of key lime pie with subtle greens, feed your nostalgia with modern tie-dye, and get crafty in the evening with crochet. Shop these runway-inspired looks here!",Shop The Spring Trends Here,4,"Shop The Spring Trends Here. Welcome the new season with our editors’ highlight of the top spring trends you need to incorporate into your wardrobe immediately. Update your classics collection with sleek must-haves, enjoy a slice of key lime pie with subtle greens, feed your nostalgia with modern tie-dye, and get crafty in the evening with crochet. Shop these runway-inspired looks here!"
188658671886704895,"Statement pants are all the rage—if you're looking to stand out from the crowd, start with a pair of eye-catching trousers. Shop everything from your elevated basics to maximalist picks in our curated edit.",Shop For Statement Pants And Maximalist Trousers Here,4,"Shop For Statement Pants And Maximalist Trousers Here. Statement pants are all the rage—if you're looking to stand out from the crowd, start with a pair of eye-catching trousers. Shop everything from your elevated basics to maximalist picks in our curated edit."
